candidate_id,rank,score,reasoning
CAND_0081846,1,0.617,6.7 years of professional experience.; Extensive experience in product-based companies (79 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0005260,2,0.615,5.2 years of professional experience.; Extensive experience in product-based companies (61 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0007411,3,0.61,8.0 years of professional experience.; Extensive experience in product-based companies (95 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0018499,4,0.597,7.2 years of professional experience.; Extensive experience in product-based companies (86 months).. Concern: Redrob signals indicate work mode mismatch.
CAND_0039754,5,0.583,16.2 years of professional experience.; Extensive experience in product-based companies (98 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0086022,6,0.581,5.3 years of professional experience.; Extensive experience in startup-based companies (25 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0092278,7,0.575,6.8 years of professional experience.; Extensive experience in startup-based companies (21 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0046064,8,0.566,8.9 years of professional experience.; Extensive experience in startup-based companies (34 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0037980,9,0.553,9.0 years of professional experience.; Extensive experience in startup-based companies (76 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0041669,10,0.55,8.0 years of professional experience.; Extensive experience in product-based companies (95 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0052328,11,0.549,6.5 years of professional experience.; Extensive experience in product-based companies (77 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0094759,12,0.547,8.6 years of professional experience.; Extensive experience in startup-based companies (41 months).. Concern: Redrob signals indicate inactivity for more than 90 days.
CAND_0008425,13,0.544,7.8 years of professional experience.; Extensive experience in product-based companies (92 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0011687,14,0.544,7.8 years of professional experience.; Extensive experience in startup-based companies (52 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0006567,15,0.54,7.9 years of professional experience.; Extensive experience in product-based companies (94 months).. Concern: Redrob signals indicate work mode mismatch.
CAND_0012957,16,0.54,Extensive experience in product-based companies (58 months).; Consistent technical career progression.. Concern: Willing to relocate but location not matched with job description.
CAND_0042506,17,0.54,Extensive experience in startup-based companies (18 months).; Extensive experience in product-based companies (50 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0002025,18,0.537,5.9 years of professional experience.; Extensive experience in startup-based companies (28 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0076831,19,0.537,Extensive experience in product-based companies (47 months).; Consistent technical career progression.. Concern: Willing to relocate but location not matched with job description.
CAND_0046525,20,0.533,6.1 years of professional experience.; Extensive experience in product-based companies (25 months).. Concern: Extensive experience in service-based companies (48 months).
CAND_0047721,21,0.532,7.0 years of professional experience.; Extensive experience in product-based companies (84 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0086151,22,0.528,7.7 years of professional experience.; Extensive experience in startup-based companies (26 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0033861,23,0.523,8.0 years of professional experience.; Extensive experience in startup-based companies (39 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0006557,24,0.521,7.9 years of professional experience.; Extensive experience in product-based companies (94 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0076251,25,0.52,7.6 years of professional experience.; Extensive experience in product-based companies (91 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0049896,26,0.519,7.3 years of professional experience.; Extensive experience in product-based companies (87 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0009837,27,0.518,Extensive experience in startup-based companies (51 months).; Extensive experience in product-based companies (51 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0026532,28,0.517,Extensive experience in product-based companies (56 months).; Consistent technical career progression.. Concern: Willing to relocate but location not matched with job description.
CAND_0018722,29,0.516,6.6 years of professional experience.; Extensive experience in startup-based companies (28 months).. Concern: Country not matched with job description.
CAND_0061257,30,0.515,8.0 years of professional experience.; Extensive experience in product-based companies (95 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0042029,31,0.514,6.5 years of professional experience.; Extensive experience in product-based companies (78 months).. Concern: Willing to relocate but location not matched with job description.
CAND_0066376,32,0.514,5.7 years of professional experience.; Extensive experience in product-based companies (67 months).. Concern: Not willing to relocate and location not matched with job description.
CAND_0079064,33,0.514,5.2 years of professional experience.; Extensive experience in startup-based companies (44 months).. Concern: Not willing to relocate and location not matched with job description.
